Comment,Description,Designator,Footprint,LibRef,Quantity
,,,,,
24K,,"BR1, BR1_1, BR1_1_1, BR1_1_2, BR1_1_3, BR1_1_4, BR1_1_5, BR1_1_5_1, BR1_1_5_2, BR1_1_5_3, BR1_1_5_4, BR1_1_5_5, BR1_1_5_6, BR1_1_5_7, BR1_1_5_8, BR1_1_6, BR1_1_6_1, BR1_1_6_2, BR1_1_6_3, BR1_1_6_4, BR1_1_6_5, BR1_1_6_6, BR1_1_6_7, BR1_1_6_8, BR1_1_7, BR1_1_7_1, BR1_1_7_2, BR1_1_7_3, BR1_1_7_4, BR1_1_7_5, BR1_1_7_6, BR1_1_7_7, BR1_1_7_8, BR1_1_8, BR1_1_8_1, BR1_1_8_2, BR1_1_8_3, BR1_1_8_4, BR1_1_8_5, BR1_1_8_6, BR1_1_8_7, BR1_1_8_8, BR1_1_9, BR1_1_9_1, BR1_1_9_2, BR1_1_9_3, BR1_1_9_4, BR1_1_9_5, BR1_1_9_6, BR1_1_9_7, BR1_1_9_8, BR1_2, BR1_2_1, BR1_2_2, BR1_2_3, BR1_2_4, BR1_2_5, BR1_2_5_1, BR1_2_5_2, BR1_2_5_3, BR1_2_5_4, BR1_2_5_5, BR1_2_5_6, BR1_2_5_7, BR1_2_5_8, BR1_2_6, BR1_2_6_1, BR1_2_6_2, BR1_2_6_3, BR1_2_6_4, BR1_2_6_5, BR1_2_6_6, BR1_2_6_7, BR1_2_6_8, BR1_2_7, BR1_2_7_1, BR1_2_7_2, BR1_2_7_3, BR1_2_7_4, BR1_2_7_5, BR1_2_7_6, BR1_2_7_7, BR1_2_7_8, BR1_2_8, BR1_2_8_1, BR1_2_8_2, BR1_2_8_3, BR1_2_8_4, BR1_2_8_5, BR1_2_8_6, BR1_2_8_7, BR1_2_8_8, BR1_2_9, BR1_2_9_1, BR1_2_9_2, BR1_2_9_3, BR1_2_9_4, BR1_2_9_5, BR1_2_9_6, BR1_2_9_7, BR1_2_9_8, BR1_3, BR1_3_1, BR1_3_2, BR1_3_3, BR1_3_4, BR1_3_5, BR1_3_5_1, BR1_3_5_2, BR1_3_5_3, BR1_3_5_4, BR1_3_5_5, BR1_3_5_6, BR1_3_5_7, BR1_3_5_8, BR1_3_6, BR1_3_6_1, BR1_3_6_2, BR1_3_6_3, BR1_3_6_4, BR1_3_6_5, BR1_3_6_6, BR1_3_6_7, BR1_3_6_8, BR1_3_7, BR1_3_7_1, BR1_3_7_2, BR1_3_7_3, BR1_3_7_4, BR1_3_7_5, BR1_3_7_6, BR1_3_7_7, BR1_3_7_8, BR1_3_8, BR1_3_8_1, BR1_3_8_2, BR1_3_8_3, BR1_3_8_4, BR1_3_8_5, BR1_3_8_6, BR1_3_8_7, BR1_3_8_8, BR1_3_9, BR1_3_9_1, BR1_3_9_2, BR1_3_9_3, BR1_3_9_4, BR1_3_9_5, BR1_3_9_6, BR1_3_9_7, BR1_3_9_8, BR1_4, BR1_5, BR1_6, BR1_7, BR1_8, BR1_8_1, BR1_8_2, BR1_8_3, BR1_8_4, BR1_8_5, BR1_8_6, BR1_8_7, BR1_8_8, BR1_9, BR1_9_1, BR1_9_2, BR1_9_3, BR1_9_4, BR1_9_5, BR1_9_6, BR1_9_7, BR1_9_8, BR1_10, BR1_10_1, BR1_10_2, BR1_10_3, BR1_10_4, BR1_10_5, BR1_10_6, BR1_10_7, BR1_10_8, BR1_11, BR1_11_1, BR1_11_2, BR1_11_3, BR1_11_4, BR1_11_5, BR1_11_6, BR1_11_7, BR1_11_8, BR1_12, BR1_12_1, BR1_12_2, BR1_12_3, BR1_12_4, BR1_12_5, BR1_12_6, BR1_12_7, BR1_12_8, BR2, BR2_1, BR2_1_1, BR2_1_2, BR2_1_3, BR2_1_4, BR2_1_5, BR2_1_5_1, BR2_1_5_2, BR2_1_5_3, BR2_1_5_4, BR2_1_5_5, BR2_1_5_6, BR2_1_5_7, BR2_1_5_8, BR2_1_6, BR2_1_6_1, BR2_1_6_2, BR2_1_6_3, BR2_1_6_4, BR2_1_6_5, BR2_1_6_6, BR2_1_6_7, BR2_1_6_8, BR2_1_7, BR2_1_7_1, BR2_1_7_2, BR2_1_7_3, BR2_1_7_4, BR2_1_7_5, BR2_1_7_6, BR2_1_7_7, BR2_1_7_8, BR2_1_8, BR2_1_8_1, BR2_1_8_2, BR2_1_8_3, BR2_1_8_4, BR2_1_8_5, BR2_1_8_6, BR2_1_8_7, BR2_1_8_8, BR2_1_9, BR2_1_9_1, BR2_1_9_2, BR2_1_9_3, BR2_1_9_4, BR2_1_9_5, BR2_1_9_6, BR2_1_9_7, BR2_1_9_8, BR2_2, BR2_2_1, BR2_2_2, BR2_2_3, BR2_2_4, BR2_2_5, BR2_2_5_1, BR2_2_5_2, BR2_2_5_3, BR2_2_5_4, BR2_2_5_5, BR2_2_5_6, BR2_2_5_7, BR2_2_5_8, BR2_2_6, BR2_2_6_1, BR2_2_6_2, BR2_2_6_3, BR2_2_6_4, BR2_2_6_5, BR2_2_6_6, BR2_2_6_7, BR2_2_6_8, BR2_2_7, BR2_2_7_1, BR2_2_7_2, BR2_2_7_3, BR2_2_7_4, BR2_2_7_5, BR2_2_7_6, BR2_2_7_7, BR2_2_7_8, BR2_2_8, BR2_2_8_1, BR2_2_8_2, BR2_2_8_3, BR2_2_8_4, BR2_2_8_5, BR2_2_8_6, BR2_2_8_7, BR2_2_8_8, BR2_2_9, BR2_2_9_1, BR2_2_9_2, BR2_2_9_3, BR2_2_9_4, BR2_2_9_5, BR2_2_9_6, BR2_2_9_7, BR2_2_9_8, BR2_3, BR2_3_1, BR2_3_2, BR2_3_3, BR2_3_4, BR2_3_5, BR2_3_5_1, BR2_3_5_2, BR2_3_5_3, BR2_3_5_4, BR2_3_5_5, BR2_3_5_6, BR2_3_5_7, BR2_3_5_8, BR2_3_6, BR2_3_6_1, BR2_3_6_2, BR2_3_6_3, BR2_3_6_4, BR2_3_6_5, BR2_3_6_6, BR2_3_6_7, BR2_3_6_8, BR2_3_7, BR2_3_7_1, BR2_3_7_2, BR2_3_7_3, BR2_3_7_4, BR2_3_7_5, BR2_3_7_6, BR2_3_7_7, BR2_3_7_8, BR2_3_8, BR2_3_8_1, BR2_3_8_2, BR2_3_8_3, BR2_3_8_4, BR2_3_8_5, BR2_3_8_6, BR2_3_8_7, BR2_3_8_8, BR2_3_9, BR2_3_9_1, BR2_3_9_2, BR2_3_9_3, BR2_3_9_4, BR2_3_9_5, BR2_3_9_6, BR2_3_9_7, BR2_3_9_8, BR2_4, BR2_5, BR2_6, BR2_7, BR2_8, BR2_8_1, BR2_8_2, BR2_8_3, BR2_8_4, BR2_8_5, BR2_8_6, BR2_8_7, BR2_8_8, BR2_9, BR2_9_1, BR2_9_2, BR2_9_3, BR2_9_4, BR2_9_5, BR2_9_6, BR2_9_7, BR2_9_8, BR2_10, BR2_10_1, BR2_10_2, BR2_10_3, BR2_10_4, BR2_10_5, BR2_10_6, BR2_10_7, BR2_10_8, BR2_11, BR2_11_1, BR2_11_2, BR2_11_3, BR2_11_4, BR2_11_5, BR2_11_6, BR2_11_7, BR2_11_8, BR2_12, BR2_12_1, BR2_12_2, BR2_12_3, BR2_12_4, BR2_12_5, BR2_12_6, BR2_12_7, BR2_12_8",R0402,,400
电感,,"L1, L1_1, L1_2, L1_3, L1_4, L1_5, L1_6, L1_7, L1_8, L1_9, L1_10, L1_11, L1_12, L1_13, L1_14, L1_15, L1_16, L1_17, L1_18, L1_19, L2, L2_1, L2_2, L2_3, L2_4, L2_5, L2_6, L2_7, L2_8, L2_9, L2_10, L2_11, L2_12, L2_13, L2_14, L2_15, L2_16, L2_17, L2_18, L2_19, L3, L3_1, L3_2, L3_3, L3_4, L3_5, L3_6, L3_7, L3_8, L3_9, L3_10, L3_11, L3_12, L3_13, L3_14, L3_15, L3_16, L3_17, L3_18, L3_19, L4, L4_1, L4_2, L4_3, L4_4, L4_5, L4_6, L4_7, L4_8, L4_9, L4_10, L4_11, L4_12, L4_13, L4_14, L4_15, L4_16, L4_17, L4_18, L4_19, L5, L5_1, L5_2, L5_3, L5_4, L5_5, L5_6, L5_7, L5_8, L5_9, L5_10, L5_11, L5_12, L5_13, L5_14, L5_15, L5_16, L5_17, L5_18, L5_19, L6, L6_1, L6_2, L6_3, L6_4, L6_5, L6_6, L6_7, L6_8, L6_9, L6_10, L6_11, L6_12, L6_13, L6_14, L6_15, L6_16, L6_17, L6_18, L6_19, L7, L7_1, L7_2, L7_3, L7_4, L7_5, L7_6, L7_7, L7_8, L7_9, L7_10, L7_11, L7_12, L7_13, L7_14, L7_15, L7_16, L7_17, L7_18, L7_19, L8, L8_1, L8_2, L8_3, L8_4, L8_5, L8_6, L8_7, L8_8, L8_9, L8_10, L8_11, L8_12, L8_13, L8_14, L8_15, L8_16, L8_17, L8_18, L8_19, L9, L9_1, L9_2, L9_3, L9_4, L9_5, L9_6, L9_7, L9_8, L9_9, L9_10, L9_11, L9_12, L9_13, L9_14, L9_15, L9_16, L9_17, L9_18, L9_19, L10, L10_1, L10_2, L10_3, L10_4, L10_5, L10_6, L10_7, L10_8, L10_9, L10_10, L10_11, L10_12, L10_13, L10_14, L10_15, L10_16, L10_17, L10_18, L10_19, L11, L11_1, L11_2, L11_3, L11_4, L11_5, L11_6, L11_7, L11_8, L11_9, L11_10, L11_11, L11_12, L11_13, L11_14, L11_15, L11_16, L11_17, L11_18, L11_19, L12, L12_1, L12_2, L12_3, L12_4, L12_5, L12_6, L12_7, L12_8, L12_9, L12_10, L12_11, L12_12, L12_13, L12_14, L12_15, L12_16, L12_17, L12_18, L12_19, L13, L13_1, L13_2, L13_3, L13_4, L13_5, L13_6, L13_7, L13_8, L13_9, L13_10, L13_11, L13_12, L13_13, L13_14, L13_15, L13_16, L13_17, L13_18, L13_19, L14, L14_1, L14_2, L14_3, L14_4, L14_5, L14_6, L14_7, L14_8, L14_9, L14_10, L14_11, L14_12, L14_13, L14_14, L14_15, L14_16, L14_17, L14_18, L14_19, L15, L15_1, L15_2, L15_3, L15_4, L15_5, L15_6, L15_7, L15_8, L15_9, L15_10, L15_11, L15_12, L15_13, L15_14, L15_15, L15_16, L15_17, L15_18, L15_19, L16, L16_1, L16_2, L16_3, L16_4, L16_5, L16_6, L16_7, L16_8, L16_9, L16_10, L16_11, L16_12, L16_13, L16_14, L16_15, L16_16, L16_17, L16_18, L16_19, L17, L17_1, L17_2, L17_3, L17_4, L17_5, L17_6, L17_7, L17_8, L17_9, L17_10, L17_11, L17_12, L17_13, L17_14, L17_15, L17_16, L17_17, L17_18, L17_19, L18, L18_1, L18_2, L18_3, L18_4, L18_5, L18_6, L18_7, L18_8, L18_9, L18_10, L18_11, L18_12, L18_13, L18_14, L18_15, L18_16, L18_17, L18_18, L18_19, L19, L19_1, L19_2, L19_3, L19_4, L19_5, L19_6, L19_7, L19_8, L19_9, L19_10, L19_11, L19_12, L19_13, L19_14, L19_15, L19_16, L19_17, L19_18, L19_19, L20, L20_1, L20_2, L20_3, L20_4, L20_5, L20_6, L20_7, L20_8, L20_9, L20_10, L20_11, L20_12, L20_13, L20_14, L20_15, L20_16, L20_17, L20_18, L20_19",L0402,,400
22u,,"C1, C3",C0805,,2
68pF,,C2,C0603,,1
10uF,,"C4, C6",C0603,,2
10u,,C5,C0805,,1
1uF,,C7,C0603,,1
10uF,,C8,C0603,,1
100nF,,"C9, C13, C14",C0603,,3
